i,j,score
14,47,41
47,15,50
15,47,50
47,16,24
16,47,24
47,17,39
17,47,39
47,18,41
18,47,41
47,19,34
19,47,34
47,20,8
20,47,8
47,21,53
21,47,53
47,22,48
22,47,48
47,23,17
23,47,17
47,24,21
24,47,21
47,25,28
25,47,28
47,26,16
26,47,16
47,27,53
27,47,53
47,28,26
28,47,26
47,29,42
29,47,42
47,30,28
30,47,28
47,31,42
31,47,42
47,32,35
32,47,35
47,33,45
33,47,45
47,34,31
34,47,31
47,35,30
35,47,30
47,36,35
36,47,35
47,37,8
37,47,8
47,38,34
38,47,34
47,39,40
39,47,40
47,40,40
40,47,40
47,41,35
41,47,35
47,42,34
42,47,34
47,43,41
43,47,41
47,44,55
44,47,55
47,45,28
45,47,28
47,46,25
46,47,25
47,47,0
48,0,110
0,48,110
48,1,121
1,48,121
48,2,43
2,48,43
48,3,106
3,48,106
48,4,102
4,48,102
48,5,38
5,48,38
48,6,99
6,48,99
48,7,18
7,48,18
48,8,16
8,48,16
48,9,125
9,48,125
48,10,74
10,48,74
